epoch,train_loss,val_loss,pixel_acc,iou,dice,precision,recall
1,0.6652151570600622,0.6570512512150932,0.6253370397230644,0.2692501060646326,0.41789167563918256,0.3299713904440624,0.6591264189313362
2,0.6251251353937037,0.5770465345943675,0.7545870612648746,0.36224583815897754,0.5262544604629921,0.455100110379591,0.6643841861802354
3,0.5879743271014269,0.5785426392274744,0.7871865665210759,0.24110405280602945,0.3663823741524414,0.5365516344739183,0.3298519383044091
4,0.5603983865064733,0.5584649285849403,0.7845086490406071,0.3028859367668271,0.4493040765929277,0.5138534690225118,0.44927733452768803
5,0.5547237171846278,0.529561460018158,0.7983021455651925,0.3544634740329043,0.5093933380051288,0.5680087739212295,0.520057877175708
6,0.5254613206667058,0.5529418973361745,0.8090914557961201,0.2808488491613563,0.4246133383125267,0.6476251378415859,0.34691659098832084
7,0.5304209824870615,0.5725475777597988,0.7927223654353677,0.24483758970023342,0.3709430773214275,0.5633625889713879,0.3133979570077251
8,0.5041029470808366,0.5383434751454521,0.7890328799976382,0.3019085105164124,0.4502078286013552,0.5294248047239332,0.4474436483938974
9,0.5155123542336857,0.502370115588693,0.7955613977768197,0.3776128552148556,0.5378220818517134,0.5600703075896976,0.5800286235047475
10,0.48736926808076747,0.5452553629875183,0.7908414952894579,0.40264458651405916,0.5616190890120177,0.53495868456026,0.6572935413493057
11,0.4880501873352948,0.6101500619860256,0.7700855030732372,0.19470404251747475,0.3044616211977235,0.44661956925571605,0.2660564945923358
12,0.4771868158789242,0.5406599710969364,0.7857033224666181,0.33053707110038555,0.4770028775679827,0.5087987403600024,0.510836034897368
13,0.47166324503281537,0.7115035337560317,0.7394458546357394,0.1620421481119554,0.26583966522916785,0.371013739646438,0.26225237319478206
14,0.46285904330365796,0.5070711286628947,0.8110198974608717,0.33344130432084584,0.48086990649123346,0.5775042757750342,0.45780745504595605
15,0.4555737733840942,0.5174056817503536,0.770957946777281,0.3840144191525292,0.541862972085825,0.5010398470818307,0.6622590459791118
16,0.4495979558019077,0.5104448374579934,0.7660535924574284,0.4132252472871505,0.5754242213418304,0.4806061146629304,0.7576820449933523
17,0.4466657294946558,0.499107144334737,0.8176677928250716,0.36338291546650486,0.5210311537101273,0.6116753257052838,0.49082337172665086
18,0.4443199164727155,0.4626522818032433,0.8157914105582977,0.42000865469883025,0.5805136904011473,0.5807089184171126,0.6205072785843185
