epoch,train_loss,val_loss,pixel_acc,iou,dice,precision,recall
19,0.44547453452559077,0.4872625768184662,0.7852846033432266,0.4131272616022912,0.572350868023869,0.5310110943630683,0.6734961224725642
20,0.4391681934104246,0.4679234992055332,0.8114309871897321,0.42537822002600106,0.5887270165969661,0.567642551907638,0.6626688159905575
21,0.42691509688601775,0.5234608615145964,0.8123487584730498,0.37580241725212815,0.5299247534006365,0.5928969526246773,0.5372092334361911
22,0.42292702022720785,0.4704945858787088,0.8127194572896859,0.3994977678705121,0.5602233995070716,0.5871872023354444,0.5924240296697804
23,0.42785150233437036,0.526628826470936,0.8301849365233704,0.3623791508196171,0.5168765913157402,0.6474015262355455,0.4441332757315196
24,0.41444992072442,0.4808133279576021,0.8141362807329302,0.4101946523239648,0.5690092402512938,0.5803750701715553,0.609802932967405
25,0.41889887171633106,0.4890286186162163,0.8275267657111003,0.37206607370310557,0.5290605792044151,0.6657183783768313,0.48916172326257057
26,0.4256762956871706,0.46849826942471895,0.8355102539061823,0.409667068447003,0.5704304504121768,0.6472859505251863,0.5329317900920711
27,0.4060811063822578,0.47314949246013865,0.8064314898321956,0.45165248560018084,0.6123777219094091,0.5471177346244432,0.7476516531070447
28,0.4187629454276141,0.508490536142798,0.8359271778779194,0.34560931043458926,0.4952831704538196,0.6689251757233378,0.4133338411748924
29,0.395577405130162,0.529031374875237,0.8219873764934996,0.359614217289979,0.5169336788372297,0.6209809268714004,0.46395550966358645
30,0.40854906054104073,0.5063202521380257,0.8284485760856405,0.3547159067359121,0.5024442007046834,0.6422010197875282,0.43937001078636123
31,0.3956515235059402,0.4346159047940198,0.83683283188757,0.4635279064785949,0.6233864843801198,0.6174585139684735,0.6581713449148638
32,0.39203462215030893,0.4879094923243803,0.8307270723230026,0.37833415326644404,0.5383391626022221,0.6429781758280775,0.4839770432225824
33,0.3964313649079379,0.42564033585436206,0.8322489121380299,0.46409822594195377,0.6262198530627688,0.612108196079798,0.67783565690713
34,0.3949035139644847,0.45062628388404846,0.8332326552446476,0.4482069984219164,0.6066127417845735,0.6202261012121703,0.6253317213923859
35,0.3867299865273868,0.44292671540204215,0.8236635993508064,0.46172808904428253,0.6211040961008509,0.5997309040982741,0.6886962587816432
36,0.3960356714094386,0.4505929946899414,0.8199023078469005,0.45730105197835613,0.6178657365443427,0.5721287120454011,0.7044650326436394
37,0.3777488771606894,0.4476811745587517,0.8309824326458427,0.40981706792690353,0.5680353480511995,0.6317373817497948,0.5545493439093048
38,0.38172526534865886,0.44294552417362437,0.8393648932961177,0.4309846048666608,0.5896411911907044,0.6561907927357138,0.577594566298081
39,0.37370433141203485,0.4490077215082505,0.8447862512924409,0.4230056031634391,0.5821342020777902,0.6760330237994123,0.531246918566415
40,0.3757450194919811,0.4304832149954403,0.8419692095587553,0.46000037173458486,0.6182070197362136,0.6324407270201995,0.6274841968887549
41,0.3739379249951419,0.4588273500694948,0.8475103939280103,0.42261574743149605,0.579248148262253,0.6969531152977408,0.5179900361416591
42,0.3652682809268727,0.44613993518492756,0.8394079769358235,0.4341340866997876,0.5945943798012974,0.6508211512313664,0.5741454900593165
43,0.3648835986852646,0.45110368378022137,0.8309496711281495,0.4414796450955464,0.6004918875044614,0.6096620399742518,0.611207484620837
